gene_id,symbol,name
ENSG00000184281,TSSC4,tumor suppressing subtransferable candidate 4
ENSG00000184292,TACSTD2,tumor associated calcium signal transducer 2
ENSG00000184303,DRD5P1,dopamine receptor D5 pseudogene 1
ENSG00000184305,CCSER1,coiled-coil serine rich protein 1
ENSG00000184307,ZDHHC23,zDHHC palmitoyltransferase 23
ENSG00000184313,MROH7,maestro heat like repeat family member 7
ENSG00000184330,S100A7A,S100 calcium binding protein A7A
ENSG00000184343,SRPK3,SRSF protein kinase 3
ENSG00000184347,SLIT3,slit guidance ligand 3
ENSG00000184349,EFNA5,ephrin A5
ENSG00000184350,MRGPRE,MAS related GPR family member E
ENSG00000184357,H1-5,"H1.5 linker histone, cluster member"
ENSG00000184361,SPATA32,spermatogenesis associated 32
ENSG00000184363,PKP3,plakophilin 3
ENSG00000184368,MAP7D2,MAP7 domain containing 2
ENSG00000184371,CSF1,colony stimulating factor 1
ENSG00000184374,COLEC10,collectin subfamily member 10
ENSG00000184378,ACTRT3,actin related protein T3
ENSG00000184381,PLA2G6,phospholipase A2 group VI
ENSG00000184384,MAML2,mastermind like transcriptional coactivator 2
ENSG00000184402,SS18L1,SS18L1 subunit of BAF chromatin remodeling complex
ENSG00000184408,KCND2,potassium voltage-gated channel subfamily D member 2
ENSG00000184414,IRS3P,"insulin receptor substrate 3, pseudogene"
ENSG00000184423,RPL23AP38,ribosomal protein L23a pseudogene 38
ENSG00000184428,TOP1MT,DNA topoisomerase I mitochondrial
ENSG00000184432,COPB2,coat protein complex I subunit beta 2
ENSG00000184434,LRRC19,leucine rich repeat containing 19
ENSG00000184436,THAP7,THAP domain containing 7
ENSG00000184441,,
ENSG00000184445,KNTC1,kinetochore associated 1
ENSG00000184451,CCR10,C-C motif chemokine receptor 10
ENSG00000184454,NCMAP,non-compact myelin associated protein
ENSG00000184465,WDR27,WD repeat domain 27
ENSG00000184470,TXNRD2,thioredoxin reductase 2
ENSG00000184471,C1QTNF8,C1q and TNF related 8
ENSG00000184478,OR56A3,olfactory receptor family 56 subfamily A member 3
ENSG00000184481,FOXO4,forkhead box O4
ENSG00000184486,POU3F2,POU class 3 homeobox 2
ENSG00000184489,PTP4A3,protein tyrosine phosphatase 4A3
ENSG00000184492,FOXD4L1,forkhead box D4 like 1
ENSG00000184497,TMEM255B,transmembrane protein 255B
ENSG00000184500,PROS1,protein S
ENSG00000184502,GAST,gastrin
ENSG00000184508,HDDC3,HD domain containing 3
ENSG00000184515,BEX5,brain expressed X-linked 5
ENSG00000184517,ZFP1,ZFP1 zinc finger protein
ENSG00000184524,CEND1,cell cycle exit and neuronal differentiation 1
ENSG00000184545,DUSP8,dual specificity phosphatase 8
ENSG00000184557,SOCS3,suppressor of cytokine signaling 3
ENSG00000184560,SPEM2,SPEM family member 2
ENSG00000184564,SLITRK6,SLIT and NTRK like family member 6
ENSG00000184571,PIWIL3,piwi like RNA-mediated gene silencing 3
ENSG00000184574,LPAR5,lysophosphatidic acid receptor 5
ENSG00000184575,XPOT,exportin for tRNA
ENSG00000184584,STING1,stimulator of interferon response cGAMP interactor 1
ENSG00000184588,PDE4B,phosphodiesterase 4B
ENSG00000184599,TAFA3,TAFA chemokine like family member 3
ENSG00000184601,C14orf180,chromosome 14 open reading frame 180
ENSG00000184602,SNN,stannin
ENSG00000184611,KCNH7,potassium voltage-gated channel subfamily H member 7
ENSG00000184612,RPL7P26,ribosomal protein L7 pseudogene 26
ENSG00000184613,NELL2,neural EGFL like 2
ENSG00000184616,SPDYE12,speedy/RINGO cell cycle regulator family member E12
ENSG00000184617,ZNF840P,"zinc finger protein 840, pseudogene"
ENSG00000184619,KRABD2,KRAB domain containing 2
ENSG00000184634,MED12,mediator complex subunit 12
ENSG00000184635,ZNF93,zinc finger protein 93
ENSG00000184640,SEPTIN9,septin 9
ENSG00000184647,PRSS55,serine protease 55
ENSG00000184650,ODF4,outer dense fiber of sperm tails 4
ENSG00000184661,CDCA2,cell division cycle associated 2
ENSG00000184675,AMER1,APC membrane recruitment protein 1
ENSG00000184677,ZBTB40,zinc finger and BTB domain containing 40
